region_nombre,Fecha,avance_porcentual,cobertura_porcentual,rango_cobertura
Antofagasta,2021-01-01,0.0,0.0,<50
Arica y Parinacota,2021-01-01,0.0,0.0,<50
Atacama,2021-01-01,0.0,0.0,<50
Coquimbo,2021-01-01,0.0,0.0,<50
Araucanía,2021-01-01,0.07,0.0,<50
Los Lagos,2021-01-01,0.0,0.0,<50
Los Ríos,2021-01-01,0.0,0.0,<50
Magallanes,2021-01-01,0.09,0.0,<50
Tarapacá,2021-01-01,0.0,0.0,<50
Valparaíso,2021-01-01,0.0,0.0,<50
Ñuble,2021-01-01,0.0,0.0,<50
Biobío,2021-01-01,0.12,0.0,<50
O’Higgins,2021-01-01,0.0,0.0,<50
Maule,2021-01-01,0.0,0.0,<50
Metropolitana,2021-01-01,0.07,0.0,<50
Aysén,2021-01-02,0.0,0.0,<50
Antofagasta,2021-01-02,0.0,0.0,<50
Arica y Parinacota,2021-01-02,0.0,0.0,<50
Atacama,2021-01-02,0.0,0.0,<50
Coquimbo,2021-01-02,0.0,0.0,<50
Araucanía,2021-01-02,0.07,0.0,<50
Los Lagos,2021-01-02,0.0,0.0,<50
Los Ríos,2021-01-02,0.0,0.0,<50
Magallanes,2021-01-02,0.09,0.0,<50
Tarapacá,2021-01-02,0.0,0.0,<50
Valparaíso,2021-01-02,0.0,0.0,<50
Ñuble,2021-01-02,0.0,0.0,<50
Biobío,2021-01-02,0.12,0.0,<50
O’Higgins,2021-01-02,0.0,0.0,<50
Maule,2021-01-02,0.0,0.0,<50
Metropolitana,2021-01-02,0.07,0.0,<50
Aysén,2021-01-03,0.0,0.0,<50
Antofagasta,2021-01-03,0.0,0.0,<50
Arica y Parinacota,2021-01-03,0.0,0.0,<50
Atacama,2021-01-03,0.0,0.0,<50
Coquimbo,2021-01-03,0.0,0.0,<50
Araucanía,2021-01-03,0.07,0.0,<50
Los Lagos,2021-01-03,0.0,0.0,<50
Los Ríos,2021-01-03,0.0,0.0,<50
Magallanes,2021-01-03,0.09,0.0,<50
Tarapacá,2021-01-03,0.0,0.0,<50
Valparaíso,2021-01-03,0.0,0.0,<50
Ñuble,2021-01-03,0.0,0.0,<50
Biobío,2021-01-03,0.12,0.0,<50
O’Higgins,2021-01-03,0.0,0.0,<50
Maule,2021-01-03,0.0,0.0,<50
Metropolitana,2021-01-03,0.07,0.0,<50
Aysén,2021-01-04,0.0,0.0,<50
Antofagasta,2021-01-04,0.0,0.0,<50
Arica y Parinacota,2021-01-04,0.0,0.0,<50
Atacama,2021-01-04,0.0,0.0,<50
Coquimbo,2021-01-04,0.0,0.0,<50
Araucanía,2021-01-04,0.07,0.0,<50
Los Lagos,2021-01-04,0.0,0.0,<50
Los Ríos,2021-01-04,0.02,0.0,<50
Magallanes,2021-01-04,0.09,0.0,<50
Tarapacá,2021-01-04,0.0,0.0,<50
Valparaíso,2021-01-04,0.0,0.0,<50
Ñuble,2021-01-04,0.0,0.0,<50
Biobío,2021-01-04,0.12,0.0,<50
O’Higgins,2021-01-04,0.0,0.0,<50
Maule,2021-01-04,0.02,0.0,<50
