region_nombre,Fecha,primera_dosis,segunda_dosis,unica_dosis,region,pob_2021,avance_vacunacion,cobertura_vacunacion,avance_porcentual,cobertura_porcentual
Biobío,2021-02-01,2146.0,1966.0,0.0,8,1670590,2146.0,1966.0,0.13,0.12
O’Higgins,2021-02-01,11677.0,0.0,0.0,6,1000959,11677.0,0.0,1.17,0.0
Maule,2021-02-01,512.0,498.0,0.0,7,1143012,512.0,498.0,0.04,0.04
Metropolitana,2021-02-01,8008.0,5656.0,0.0,13,8242459,8008.0,5656.0,0.1,0.07
Aysén,2021-02-02,2262.0,0.0,0.0,11,107737,2262.0,0.0,2.1,0.0
Antofagasta,2021-02-02,6328.0,0.0,0.0,2,703746,6328.0,0.0,0.9,0.0
Arica y Parinacota,2021-02-02,2968.0,0.0,0.0,15,255380,2968.0,0.0,1.16,0.0
Atacama,2021-02-02,3869.0,6.0,0.0,3,316737,3869.0,6.0,1.22,0.0
Coquimbo,2021-02-02,8770.0,0.0,0.0,4,848079,8770.0,0.0,1.03,0.0
Araucanía,2021-02-02,946.0,697.0,0.0,9,1019548,946.0,697.0,0.09,0.07
Los Lagos,2021-02-02,802.0,535.0,0.0,10,897303,802.0,535.0,0.09,0.06
Los Ríos,2021-02-02,770.0,145.0,0.0,14,407818,770.0,145.0,0.19,0.04
Magallanes,2021-02-02,222.0,163.0,0.0,12,179949,222.0,163.0,0.12,0.09
Tarapacá,2021-02-02,334.0,157.0,0.0,1,391165,334.0,157.0,0.09,0.04
Valparaíso,2021-02-02,3094.0,587.0,0.0,5,1979373,3094.0,587.0,0.16,0.03
Ñuble,2021-02-02,7824.0,0.0,0.0,16,514508,7824.0,0.0,1.52,0.0
Biobío,2021-02-02,6316.0,1966.0,0.0,8,1670590,6316.0,1966.0,0.38,0.12
O’Higgins,2021-02-02,11921.0,0.0,0.0,6,1000959,11921.0,0.0,1.19,0.0
Maule,2021-02-02,1667.0,498.0,0.0,7,1143012,1667.0,498.0,0.15,0.04
Metropolitana,2021-02-02,12096.0,5656.0,0.0,13,8242459,12096.0,5656.0,0.15,0.07
Aysén,2021-02-03,3566.0,0.0,0.0,11,107737,3566.0,0.0,3.31,0.0
Antofagasta,2021-02-03,9316.0,0.0,0.0,2,703746,9316.0,0.0,1.32,0.0
Arica y Parinacota,2021-02-03,4410.0,0.0,0.0,15,255380,4410.0,0.0,1.73,0.0
Atacama,2021-02-03,9463.0,6.0,0.0,3,316737,9463.0,6.0,2.99,0.0
Coquimbo,2021-02-03,12773.0,0.0,0.0,4,848079,12773.0,0.0,1.51,0.0
