grupo_etario,semana,semana_texto,largo_semana,inicio_semana,fin_semana,casos_totales,casos_diarios_promedio,casos_diarios_promedio_ant,diferencia_promedios,cambio_porcentual_diarios
>=70,84,08 Aug - 14 Aug 21,7,2021-08-08,2021-08-14,2038,291,320.7142857142857,-29.571428571428555,-9.22
>=70,85,15 Aug - 21 Aug 21,7,2021-08-15,2021-08-21,1964,280,291.14285714285717,-10.571428571428612,-3.63
>=70,86,22 Aug - 28 Aug 21,7,2021-08-22,2021-08-28,1686,240,280.57142857142856,-39.714285714285694,-14.15
>=70,87,29 Aug - 04 Sep 21,7,2021-08-29,2021-09-04,1401,200,240.85714285714286,-40.71428571428572,-16.9
>=70,88,05 Sep - 11 Sep 21,7,2021-09-05,2021-09-11,1210,172,200.14285714285714,-27.285714285714278,-13.63
>=70,89,12 Sep - 18 Sep 21,7,2021-09-12,2021-09-18,996,142,172.85714285714286,-30.571428571428584,-17.69
>=70,90,19 Sep - 25 Sep 21,7,2021-09-19,2021-09-25,839,119,142.28571428571428,-22.428571428571416,-15.76
>=70,91,26 Sep - 02 Oct 21,7,2021-09-26,2021-10-02,749,107,119.85714285714286,-12.857142857142861,-10.73
>=70,92,03 Oct - 09 Oct 21,7,2021-10-03,2021-10-09,735,105,107.0,-2.0,-1.87
>=70,93,10 Oct - 16 Oct 21,7,2021-10-10,2021-10-16,707,101,105.0,-4.0,-3.81
>=70,94,17 Oct - 23 Oct 21,7,2021-10-17,2021-10-23,740,105,101.0,4.714285714285708,4.67
>=70,95,24 Oct - 30 Oct 21,7,2021-10-24,2021-10-30,807,115,105.71428571428571,9.571428571428584,9.05
>=70,96,31 Oct - 06 Nov 21,7,2021-10-31,2021-11-06,850,121,115.28571428571429,6.142857142857139,5.33
>=70,97,07 Nov - 13 Nov 21,7,2021-11-07,2021-11-13,951,135,121.42857142857143,14.42857142857143,11.88
>=70,98,14 Nov - 20 Nov 21,7,2021-11-14,2021-11-20,1174,167,135.85714285714286,31.85714285714286,23.45
>=70,99,21 Nov - 27 Nov 21,7,2021-11-21,2021-11-27,1313,187,167.71428571428572,19.85714285714286,11.84
>=70,100,28 Nov - 04 Dec 21,7,2021-11-28,2021-12-04,1432,204,187.57142857142858,17.0,9.06
>=70,101,05 Dec - 11 Dec 21,7,2021-12-05,2021-12-11,1392,198,204.57142857142858,-5.714285714285722,-2.79
>=70,102,12 Dec - 18 Dec 21,7,2021-12-12,2021-12-18,1270,181,198.85714285714286,-17.428571428571445,-8.76
>=70,103,19 Dec - 25 Dec 21,7,2021-12-19,2021-12-25,1169,167,181.42857142857142,-14.428571428571416,-7.95
>=70,104,26 Dec - 31 Dec 21,6,2021-12-26,2021-12-31,919,153,167.0,-13.833333333333343,-8.28
