Fecha,cantidad,dosis
2021-01-04,0.0,segunda
2021-01-05,0.0,segunda
2021-01-06,0.0,segunda
2021-01-07,0.0,segunda
2021-01-08,0.0,segunda
2021-01-09,0.0,segunda
2021-01-10,0.0,segunda
2021-01-11,0.0,segunda
2021-01-12,0.0,segunda
2021-01-13,1029.0,segunda
2021-01-14,4796.0,segunda
2021-01-15,2474.0,segunda
2021-01-16,67.0,segunda
2021-01-17,0.0,segunda
2021-01-18,0.0,segunda
2021-01-19,1.0,segunda
2021-01-20,0.0,segunda
2021-01-21,0.0,segunda
2021-01-22,0.0,segunda
2021-01-23,0.0,segunda
2021-01-24,0.0,segunda
2021-01-25,1403.0,segunda
2021-01-26,595.0,segunda
2021-01-27,34.0,segunda
2021-01-28,0.0,segunda
2021-01-29,5.0,segunda
2021-01-30,0.0,segunda
2021-01-31,0.0,segunda
2021-02-01,0.0,segunda
2021-02-02,6.0,segunda
2021-02-03,0.0,segunda
2021-02-04,2108.0,segunda
2021-02-05,670.0,segunda
2021-02-06,5.0,segunda
2021-02-07,2.0,segunda
2021-02-08,11768.0,segunda
2021-02-09,19377.0,segunda
2021-02-10,8338.0,segunda
2021-02-11,2884.0,segunda
2021-02-12,210.0,segunda
2021-02-13,33.0,segunda
2021-02-14,0.0,segunda
2021-02-15,0.0,segunda
2021-02-16,11.0,segunda
2021-02-17,0.0,segunda
2021-02-18,1.0,segunda
2021-02-19,0.0,segunda
2021-02-20,0.0,segunda
2021-02-21,0.0,segunda
2021-02-22,22.0,segunda
2021-02-23,40.0,segunda
2021-02-24,173.0,segunda
2021-02-25,144.0,segunda
2021-02-26,118.0,segunda
2021-02-27,4.0,segunda
2021-02-28,0.0,segunda
2021-03-01,408.0,segunda
2021-03-02,12414.0,segunda
2021-03-03,154052.0,segunda
2021-03-04,165798.0,segunda
2021-03-05,161560.0,segunda
2021-03-06,24128.0,segunda
2021-03-07,6894.0,segunda
2021-03-08,213977.0,segunda
2021-03-09,237484.0,segunda
2021-03-10,265499.0,segunda
2021-03-11,245587.0,segunda
2021-03-12,223067.0,segunda
2021-03-13,26156.0,segunda
2021-03-14,3835.0,segunda
2021-03-15,272392.0,segunda
2021-03-16,243559.0,segunda
2021-03-17,216001.0,segunda
2021-03-18,186093.0,segunda
2021-03-19,154720.0,segunda
2021-03-20,10984.0,segunda
2021-03-21,1176.0,segunda
2021-03-22,121931.0,segunda
2021-03-23,90542.0,segunda
2021-03-24,64771.0,segunda
2021-03-25,55197.0,segunda
2021-03-26,51083.0,segunda
2021-03-27,2748.0,segunda
2021-03-28,423.0,segunda
2021-03-29,115467.0,segunda
2021-03-30,144571.0,segunda
2021-03-31,153138.0,segunda
2021-04-01,168451.0,segunda
2021-04-02,5179.0,segunda
2021-04-03,1345.0,segunda
2021-04-04,461.0,segunda
2021-04-05,204727.0,segunda
2021-04-06,146522.0,segunda
2021-04-07,138263.0,segunda
2021-04-08,162656.0,segunda
2021-04-09,147972.0,segunda
